Rank,Title,Genre
592,Adoration,"Drama,Romance"
593,The Drop,"Crime,Drama,Mystery"
594,She's the Man,"Comedy,Romance,Sport"
595,Daddy's Home,"Comedy,Family"
596,Let Me In,"Drama,Horror,Mystery"
597,Never Back Down,"Action,Drama,Sport"
598,Grimsby,"Action,Adventure,Comedy"
599,Moon,"Drama,Mystery,Sci-Fi"
600,Megamind,"Animation,Action,Comedy"
601,Gangster Squad,"Action,Crime,Drama"
602,Blood Father,"Action,Crime,Drama"
603,He's Just Not That Into You,"Comedy,Drama,Romance"
604,Kung Fu Panda 3,"Animation,Action,Adventure"
605,The Rise of the Krays,"Crime,Drama"
606,Handsome Devil,Drama
607,Winter's Bone,Drama
608,Horrible Bosses,"Comedy,Crime"
609,Mommy,Drama
610,Hellboy II: The Golden Army,"Action,Adventure,Fantasy"
611,Beautiful Creatures,"Drama,Fantasy,Romance"
612,Toni Erdmann,"Comedy,Drama"
613,The Lovely Bones,"Drama,Fantasy,Thriller"
614,The Assassination of Jesse James by the Coward Robert Ford,"Biography,Crime,Drama"
615,Don Jon,"Comedy,Drama,Romance"
616,Bastille Day,"Action,Crime,Drama"
617,2307: Winter's Dream,Sci-Fi
618,Free State of Jones,"Action,Biography,Drama"
619,Mr. Right,"Action,Comedy,Romance"
620,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama"
621,Dope,"Comedy,Crime,Drama"
622,Underworld Awakening,"Action,Fantasy,Horror"
623,Antichrist,"Drama,Horror"
624,Friday the 13th,Horror
625,Taken 3,"Action,Thriller"
626,Total Recall,"Action,Adventure,Mystery"
627,X-Men: The Last Stand,"Action,Adventure,Fantasy"
628,The Escort,"Comedy,Drama,Romance"
629,The Whole Truth,"Crime,Drama,Mystery"
630,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family"
631,Love & Other Drugs,"Comedy,Drama,Romance"
632,The Interview,Comedy
633,The Host,"Comedy,Drama,Horror"
634,Megan Is Missing,"Drama,Horror,Thriller"
635,WALL·E,"Animation,Adventure,Family"
636,Knocked Up,"Comedy,Romance"
637,Source Code,"Mystery,Romance,Sci-Fi"
638,Lawless,"Crime,Drama"
639,Unfriended,"Drama,Horror,Mystery"
640,American Reunion,Comedy
641,The Pursuit of Happyness,"Biography,Drama"
642,Relatos salvajes,"Comedy,Drama,Thriller"
643,The Ridiculous 6,"Comedy,Western"
644,Frantz,"Drama,History,War"
645,Viral,"Drama,Horror,Sci-Fi"
646,Gran Torino,Drama
647,Burnt,"Comedy,Drama"
648,Tall Men,"Fantasy,Horror,Thriller"
649,Sleeping Beauty,"Drama,Romance"
650,Vampire Academy,"Action,Comedy,Fantasy"
651,Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical"
652,Solace,"Crime,Drama,Mystery"
653,Insidious,"Horror,Mystery,Thriller"
654,Popstar: Never Stop Never Stopping,"Comedy,Music"
655,The Levelling,Drama
656,Public Enemies,"Biography,Crime,Drama"
657,Boyhood,Drama
658,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy"
659,Eastern Promises,"Crime,Drama,Mystery"
660,The Daughter,Drama
661,Pineapple Express,"Action,Comedy,Crime"
662,The First Time,"Comedy,Drama,Romance"
663,Gone Baby Gone,"Crime,Drama,Mystery"
664,The Heat,"Action,Comedy,Crime"
665,L'avenir,Drama
666,Anna Karenina,"Drama,Romance"
667,Regression,"Crime,Drama,Mystery"
668,Ted 2,"Adventure,Comedy,Romance"
669,Pain & Gain,"Comedy,Crime,Drama"
670,Blood Diamond,"Adventure,Drama,Thriller"
671,Devil's Knot,"Biography,Crime,Drama"
672,Child 44,"Crime,Drama,Thriller"
673,The Hurt Locker,"Drama,History,Thriller"
674,Green Lantern,"Action,Adventure,Sci-Fi"
675,War on Everyone,"Action,Comedy"
676,The Mist,Horror
677,Escape Plan,"Action,Crime,Mystery"
678,"Love, Rosie","Comedy,Romance"
679,The DUFF,Comedy
680,The Age of Shadows,"Action,Drama,Thriller"
681,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi"
682,We Need to Talk About Kevin,"Drama,Mystery,Thriller"
683,Love & Friendship,"Comedy,Drama,Romance"
684,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror"
685,Seven Pounds,"Drama,Romance"
686,The King's Speech,"Biography,Drama"
687,Hunger,"Biography,Drama"
688,Jumper,"Action,Adventure,Sci-Fi"
689,Toy Story 3,"Animation,Adventure,Comedy"
690,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller"
691,Resident Evil: Retribution,"Action,Horror,Sci-Fi"
692,Dear Zindagi,"Drama,Romance"
693,Genius,"Biography,Drama"
694,Pompeii,"Action,Adventure,Drama"
695,Life of Pi,"Adventure,Drama,Fantasy"
696,Hachi: A Dog's Tale,"Drama,Family"
697,10 Years,"Comedy,Drama,Romance"
698,I Origins,"Drama,Romance,Sci-Fi"
699,Live Free or Die Hard,"Action,Adventure,Thriller"
700,The Matchbreaker,"Comedy,Romance"
701,Funny Games,"Crime,Drama,Horror"
702,Ted,"Comedy,Fantasy"
703,RED,"Action,Comedy,Crime"
704,Australia,"Adventure,Drama,Romance"
705,Faster,"Action,Crime,Drama"
706,The Neighbor,"Crime,Horror,Thriller"
707,The Adjustment Bureau,"Romance,Sci-Fi,Thriller"
708,The Hollars,"Comedy,Drama,Romance"
709,The Judge,"Crime,Drama"
710,Closed Circuit,"Crime,Drama,Mystery"
711,Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi"
712,La tortue rouge,"Animation,Fantasy"
713,The Book of Life,"Animation,Adventure,Comedy"
714,Incendies,"Drama,Mystery,War"
715,The Heartbreak Kid,"Comedy,Romance"
716,Happy Feet,"Animation,Comedy,Family"
717,Entourage,Comedy
718,The Strangers,"Horror,Mystery,Thriller"
719,Noah,"Action,Adventure,Drama"
720,Neighbors,Comedy
721,Nymphomaniac: Vol. II,Drama
722,Wild,"Adventure,Biography,Drama"
723,Grown Ups,Comedy
724,Blair Witch,"Horror,Thriller"
725,The Karate Kid,"Action,Drama,Family"
726,Dark Shadows,"Comedy,Fantasy,Horror"
727,Friends with Benefits,"Comedy,Romance"
728,The Illusionist,"Drama,Mystery,Romance"
729,The A-Team,"Action,Adventure,Comedy"
730,The Guest,Thriller
731,The Internship,Comedy
732,Paul,"Adventure,Comedy,Sci-Fi"
733,This Beautiful Fantastic,"Comedy,Drama,Fantasy"
734,The Da Vinci Code,"Mystery,Thriller"
735,Mr. Church,"Comedy,Drama"
736,Hugo,"Adventure,Drama,Family"
737,The Blackcoat's Daughter,"Horror,Thriller"
738,Body of Lies,"Action,Drama,Romance"
739,Knight of Cups,"Drama,Romance"
740,The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy"
741,The Boss,Comedy
742,Hands of Stone,"Action,Biography,Drama"
743,El secreto de sus ojos,"Drama,Mystery,Romance"
744,True Grit,"Adventure,Drama,Western"
745,We Are Your Friends,"Drama,Music,Romance"
746,A Million Ways to Die in the West,"Comedy,Romance,Western"
747,Only for One Night,Thriller
748,Rules Don't Apply,"Comedy,Drama,Romance"
749,Ouija: Origin of Evil,"Horror,Thriller"
750,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy"
751,Fracture,"Crime,Drama,Mystery"
752,Oculus,"Horror,Mystery"
753,In Bruges,"Comedy,Crime,Drama"
754,This Means War,"Action,Comedy,Romance"
755,Lída Baarová,"Biography,Drama,History"
756,The Road,"Adventure,Drama"
757,Lavender,"Drama,Thriller"
758,Deuces,Drama
759,Conan the Barbarian,"Action,Adventure,Fantasy"
760,The Fighter,"Action,Biography,Drama"
761,August Rush,"Drama,Music"
762,Chef,"Comedy,Drama"
763,Eye in the Sky,"Drama,Thriller,War"
764,Eagle Eye,"Action,Mystery,Thriller"
765,The Purge,"Horror,Sci-Fi,Thriller"
766,PK,"Comedy,Drama,Romance"
767,Ender's Game,"Action,Sci-Fi"
768,Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy"
769,Paper Towns,"Drama,Mystery,Romance"
770,High-Rise,Drama
771,Quantum of Solace,"Action,Adventure,Thriller"
772,The Assignment,"Action,Crime,Thriller"
773,How to Train Your Dragon,"Animation,Action,Adventure"
774,Lady in the Water,"Drama,Fantasy,Mystery"
775,The Fountain,"Drama,Sci-Fi"
776,Cars 2,"Animation,Adventure,Comedy"
777,31,"Horror,Thriller"
778,Final Girl,"Action,Thriller"
779,Chalk It Up,Comedy
780,The Man Who Knew Infinity,"Biography,Drama"
781,Unknown,"Action,Mystery,Thriller"
782,Self/less,"Action,Mystery,Sci-Fi"
783,Mr. Brooks,"Crime,Drama,Thriller"
784,Tramps,"Comedy,Romance"
785,Before We Go,"Comedy,Drama,Romance"
786,Captain Phillips,"Biography,Drama,Thriller"
787,The Secret Scripture,Drama
788,Max Steel,"Action,Adventure,Family"
789,Hotel Transylvania 2,"Animation,Comedy,Family"
790,Hancock,"Action,Crime,Drama"
791,Sisters,Comedy
792,The Family,"Comedy,Crime,Thriller"
793,Zack and Miri Make a Porno,"Comedy,Romance"
794,Ma vie de Courgette,"Animation,Comedy,Drama"
795,Man on a Ledge,"Action,Crime,Thriller"
796,No Strings Attached,"Comedy,Romance"
797,Rescue Dawn,"Adventure,Biography,Drama"
798,Despicable Me 2,"Animation,Adventure,Comedy"
799,A Walk Among the Tombstones,"Crime,Drama,Mystery"
800,The World's End,"Action,Comedy,Sci-Fi"
801,Yoga Hosers,"Comedy,Fantasy,Horror"
802,Seven Psychopaths,"Comedy,Crime"
803,Beowulf,"Animation,Action,Adventure"
804,Jack Ryan: Shadow Recruit,"Action,Drama,Thriller"
805,1408,"Fantasy,Horror"
806,The Gambler,"Crime,Drama,Thriller"
807,Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy"
808,The Spectacular Now,"Comedy,Drama,Romance"
809,A United Kingdom,"Biography,Drama,Romance"
810,USS Indianapolis: Men of Courage,"Action,Drama,History"
811,Turbo Kid,"Action,Adventure,Comedy"
812,Mama,"Horror,Thriller"
813,Orphan,"Horror,Mystery,Thriller"
814,To Rome with Love,"Comedy,Romance"
815,Fantastic Mr. Fox,"Animation,Adventure,Comedy"
816,Inside Man,"Crime,Drama,Mystery"
817,I.T.,"Crime,Drama,Mystery"
818,127 Hours,"Adventure,Biography,Drama"
819,Annabelle,"Horror,Mystery,Thriller"
820,Wolves at the Door,"Horror,Thriller"
821,Suite Française,"Drama,Romance,War"
822,The Imaginarium of Doctor Parnassus,"Adventure,Fantasy,Mystery"
823,G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi"
824,Christine,"Biography,Drama"
825,Man Down,"Drama,Thriller"
826,Crawlspace,"Horror,Thriller"
827,Shut In,"Drama,Horror,Thriller"
828,The Warriors Gate,"Action,Adventure,Fantasy"
829,Grindhouse,"Action,Horror,Thriller"
830,Disaster Movie,Comedy
831,Rocky Balboa,"Drama,Sport"
832,Diary of a Wimpy Kid: Dog Days,"Comedy,Family"
833,Jane Eyre,"Drama,Romance"
834,Fool's Gold,"Action,Adventure,Comedy"
835,The Dictator,Comedy
836,The Loft,"Mystery,Romance,Thriller"
837,Bacalaureat,"Crime,Drama"
838,You Don't Mess with the Zohan,"Action,Comedy"
839,Exposed,"Crime,Drama,Mystery"
840,Maudie,"Biography,Drama,Romance"
841,Horrible Bosses 2,"Comedy,Crime"
842,A Bigger Splash,"Drama,Thriller"
843,Melancholia,Drama
844,The Princess and the Frog,"Animation,Adventure,Comedy"
845,Unstoppable,"Action,Thriller"
846,Flight,"Drama,Thriller"
847,Home,"Animation,Adventure,Comedy"
848,La migliore offerta,"Crime,Drama,Mystery"
849,Mean Dreams,Thriller
850,42,"Biography,Drama,Sport"
851,21,"Crime,Drama,Thriller"
852,Begin Again,"Drama,Music"
853,Out of the Furnace,"Crime,Drama,Thriller"
854,Vicky Cristina Barcelona,"Drama,Romance"
855,Kung Fu Panda,"Animation,Action,Adventure"
856,Barbershop: The Next Cut,"Comedy,Drama"
857,Terminator Salvation,"Action,Adventure,Drama"
858,Freedom Writers,"Biography,Crime,Drama"
859,The Hills Have Eyes,Horror
860,Changeling,"Biography,Drama,Mystery"
861,Remember Me,"Drama,Romance"
862,Koe no katachi,"Animation,Drama,Romance"
863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family"
864,Locke,Drama
865,The 9th Life of Louis Drax,"Mystery,Thriller"
866,Horns,"Drama,Fantasy,Horror"
867,Indignation,"Drama,Romance"
868,The Stanford Prison Experiment,"Biography,Drama,History"
869,Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family"
870,Mission: Impossible III,"Action,Adventure,Thriller"
871,En man som heter Ove,"Comedy,Drama"
872,Dragonball Evolution,"Action,Adventure,Fantasy"
873,Red Dawn,"Action,Thriller"
874,One Day,"Drama,Romance"
875,Life as We Know It,"Comedy,Drama,Romance"
876,28 Weeks Later,"Drama,Horror,Sci-Fi"
877,Warm Bodies,"Comedy,Horror,Romance"
878,Blue Jasmine,Drama
879,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi"
880,Wrath of the Titans,"Action,Adventure,Fantasy"
881,Shin Gojira,"Action,Adventure,Drama"
882,Saving Mr. Banks,"Biography,Comedy,Drama"
883,Transcendence,"Drama,Mystery,Romance"
884,Rio,"Animation,Adventure,Comedy"
885,Equals,"Drama,Romance,Sci-Fi"
886,Babel,Drama
887,The Tree of Life,"Drama,Fantasy"
888,The Lucky One,"Drama,Romance"
889,Piranha 3D,"Comedy,Horror,Thriller"
890,50/50,"Comedy,Drama,Romance"
891,The Intent,"Crime,Drama"
892,This Is 40,"Comedy,Romance"
893,Real Steel,"Action,Drama,Family"
894,Sex and the City,"Comedy,Drama,Romance"
895,Rambo,"Action,Thriller,War"
896,Planet Terror,"Action,Comedy,Horror"
897,Concussion,"Biography,Drama,Sport"
898,The Fall,"Adventure,Comedy,Drama"
899,The Ugly Truth,"Comedy,Romance"
900,Bride Wars,"Comedy,Romance"
901,Sleeping with Other People,"Comedy,Drama,Romance"
902,Snakes on a Plane,"Action,Adventure,Crime"
903,What If,"Comedy,Romance"
904,How to Train Your Dragon 2,"Animation,Action,Adventure"
905,RoboCop,"Action,Crime,Sci-Fi"
906,In Dubious Battle,Drama
907,"Hello, My Name Is Doris","Comedy,Drama,Romance"
908,Ocean's Thirteen,"Crime,Thriller"
909,Slither,"Comedy,Horror,Sci-Fi"
910,Contagion,"Drama,Thriller"
911,Il racconto dei racconti - Tale of Tales,"Drama,Fantasy,Horror"
912,I Am the Pretty Thing That Lives in the House,Thriller
913,Bridge to Terabithia,"Adventure,Drama,Family"
914,Coherence,"Mystery,Sci-Fi,Thriller"
915,Notorious,"Biography,Crime,Drama"
916,Goksung,"Drama,Fantasy,Horror"
917,The Expendables 2,"Action,Adventure,Thriller"
918,The Girl Next Door,"Crime,Drama,Horror"
919,Perfume: The Story of a Murderer,"Crime,Drama,Fantasy"
920,The Golden Compass,"Adventure,Family,Fantasy"
921,Centurion,"Action,Adventure,Drama"
922,Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror"
923,17 Again,"Comedy,Drama,Family"
924,No Escape,"Action,Thriller"
925,Superman Returns,"Action,Adventure,Sci-Fi"
926,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy"
927,Precious,Drama
928,The Sea of Trees,Drama
929,Good Kids,Comedy
930,The Master,Drama
931,Footloose,"Comedy,Drama,Music"
932,If I Stay,"Drama,Fantasy,Music"
933,The Ticket,Drama
934,Detour,Thriller
935,The Love Witch,"Comedy,Horror"
936,Talladega Nights: The Ballad of Ricky Bobby,"Action,Comedy,Sport"
937,The Human Centipede (First Sequence),Horror
938,Super,"Comedy,Drama"
939,The Siege of Jadotville,"Action,Drama,Thriller"
940,Up in the Air,"Drama,Romance"
941,The Midnight Meat Train,"Horror,Mystery"
942,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy"
943,Transpecos,Thriller
944,What's Your Number?,"Comedy,Romance"
945,Riddick,"Action,Sci-Fi,Thriller"
946,Triangle,"Fantasy,Mystery,Thriller"
947,The Butler,"Biography,Drama"
948,King Cobra,"Crime,Drama"
949,After Earth,"Action,Adventure,Sci-Fi"
950,Kicks,Adventure
951,Me and Earl and the Dying Girl,"Comedy,Drama"
952,The Descendants,"Comedy,Drama"
953,Sex and the City 2,"Comedy,Drama,Romance"
954,The Kings of Summer,"Adventure,Comedy,Drama"
955,Death Race,"Action,Sci-Fi,Thriller"
956,That Awkward Moment,"Comedy,Romance"
957,Legion,"Action,Fantasy,Horror"
958,End of Watch,"Crime,Drama,Thriller"
959,3 Days to Kill,"Action,Drama,Thriller"
960,Lucky Number Slevin,"Crime,Drama,Mystery"
961,Trance,"Crime,Drama,Mystery"
962,Into the Forest,"Drama,Sci-Fi,Thriller"
963,The Other Boleyn Girl,"Biography,Drama,History"
964,I Spit on Your Grave,"Crime,Horror,Thriller"
965,Custody,Drama
966,Inland Empire,"Drama,Mystery,Thriller"
967,L'odyssée,"Adventure,Biography"
968,The Walk,"Adventure,Biography,Crime"
969,Wrecker,"Action,Horror,Thriller"
970,The Lone Ranger,"Action,Adventure,Western"
971,Texas Chainsaw 3D,"Horror,Thriller"
972,Disturbia,"Drama,Mystery,Thriller"
973,Rock of Ages,"Comedy,Drama,Musical"
974,Scream 4,"Horror,Mystery"
975,Queen of Katwe,"Biography,Drama,Sport"
976,My Big Fat Greek Wedding 2,"Comedy,Family,Romance"
977,Dark Places,"Drama,Mystery,Thriller"
978,Amateur Night,Comedy
979,It's Only the End of the World,Drama
980,The Skin I Live In,"Drama,Thriller"
981,Miracles from Heaven,"Biography,Drama,Family"
982,Annie,"Comedy,Drama,Family"
983,Across the Universe,"Drama,Fantasy,Musical"
984,Let's Be Cops,Comedy
985,Max,"Adventure,Family"
986,Your Highness,"Adventure,Comedy,Fantasy"
987,Final Destination 5,"Horror,Thriller"
988,Endless Love,"Drama,Romance"
989,Martyrs,Horror
990,Selma,"Biography,Drama,History"
991,Underworld: Rise of the Lycans,"Action,Adventure,Fantasy"
992,Taare Zameen Par,"Drama,Family,Music"
993,Take Me Home Tonight,"Comedy,Drama,Romance"
994,Resident Evil: Afterlife,"Action,Adventure,Horror"
995,Project X,Comedy
996,Secret in Their Eyes,"Crime,Drama,Mystery"
997,Hostel: Part II,Horror
998,Step Up 2: The Streets,"Drama,Music,Romance"
999,Search Party,"Adventure,Comedy"
1000,Nine Lives,"Comedy,Family,Fantasy"
