Rank,Title,Genre
134,Whiplash,"Drama,Music"
135,Furious 6,"Action,Crime,Thriller"
136,The Place Beyond the Pines,"Crime,Drama,Thriller"
137,No Country for Old Men,"Crime,Drama,Thriller"
138,The Great Gatsby,"Drama,Romance"
139,Shutter Island,"Mystery,Thriller"
140,Brimstone,"Mystery,Thriller,Western"
141,Star Trek,"Action,Adventure,Sci-Fi"
142,Diary of a Wimpy Kid,"Comedy,Family"
143,The Big Short,"Biography,Comedy,Drama"
144,Room,Drama
145,Django Unchained,"Drama,Western"
146,Ah-ga-ssi,"Drama,Mystery,Romance"
147,The Edge of Seventeen,"Comedy,Drama"
148,Watchmen,"Action,Drama,Mystery"
149,Superbad,Comedy
150,Inferno,"Action,Adventure,Crime"
151,The BFG,"Adventure,Family,Fantasy"
152,The Hunger Games,"Adventure,Sci-Fi,Thriller"
153,White Girl,Drama
154,Sicario,"Action,Crime,Drama"
155,Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery"
156,Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi"
157,Pacific Rim,"Action,Adventure,Sci-Fi"
158,"Crazy, Stupid, Love.","Comedy,Drama,Romance"
159,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy"
160,Hot Fuzz,"Action,Comedy,Mystery"
161,Mine,"Thriller,War"
162,Free Fire,"Action,Comedy,Crime"
163,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
164,Jack Reacher: Never Go Back,"Action,Adventure,Crime"
165,Casino Royale,"Action,Adventure,Thriller"
166,Twilight,"Drama,Fantasy,Romance"
167,Now You See Me 2,"Action,Adventure,Comedy"
168,Woman in Gold,"Biography,Drama,History"
169,13 Hours,"Action,Drama,History"
170,Spectre,"Action,Adventure,Thriller"
171,Nightcrawler,"Crime,Drama,Thriller"
172,Kubo and the Two Strings,"Animation,Adventure,Family"
173,Beyond the Gates,"Adventure,Horror"
174,Her,"Drama,Romance,Sci-Fi"
175,Frozen,"Animation,Adventure,Comedy"
176,Tomorrowland,"Action,Adventure,Family"
177,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
178,Tropic Thunder,"Action,Comedy"
179,The Conjuring 2,"Horror,Mystery,Thriller"
180,Ant-Man,"Action,Adventure,Comedy"
181,Bridget Jones's Baby,"Comedy,Romance"
182,The VVitch: A New-England Folktale,"Horror,Mystery"
183,Cinderella,"Drama,Family,Fantasy"
184,Realive,Sci-Fi
185,Forushande,"Drama,Thriller"
186,Love,"Drama,Romance"
187,Billy Lynn's Long Halftime Walk,"Drama,War"
188,Crimson Peak,"Drama,Fantasy,Horror"
189,Drive,"Crime,Drama"
190,Trainwreck,"Comedy,Drama,Romance"
191,The Light Between Oceans,"Drama,Romance"
192,Below Her Mouth,Drama
193,Spotlight,"Crime,Drama,History"
194,Morgan,"Horror,Sci-Fi,Thriller"
195,Warrior,"Action,Drama,Sport"
196,Captain America: The First Avenger,"Action,Adventure,Sci-Fi"
197,Hacker,"Crime,Drama,Thriller"
198,Into the Wild,"Adventure,Biography,Drama"
199,The Imitation Game,"Biography,Drama,Thriller"
200,Central Intelligence,"Action,Comedy,Crime"
201,Edge of Tomorrow,"Action,Adventure,Sci-Fi"
202,A Cure for Wellness,"Drama,Fantasy,Horror"
203,Snowden,"Biography,Drama,Thriller"
204,Iron Man,"Action,Adventure,Sci-Fi"
205,Allegiant,"Action,Adventure,Mystery"
206,X: First Class,"Action,Adventure,Sci-Fi"
